Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
2018-09-19,0,0,21.0,66,0.4,2000,14.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,1,20.5,64,0.4,2000,13.4,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,2,20.0,70,0.2,2000,14.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,3,19.7,70,0.5,2000,14.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,4,19.5,70,0.5,2000,13.8,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,5,19.3,73,0.9,1782,14.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,6,19.0,76,0.3,1488,14.6,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,7,19.0,74,0.8,1650,14.2,0.03,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,8,19.8,71,1.1,1534,14.3,0.26,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,9,21.5,61,0.8,1774,13.6,0.92,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,10,22.9,59,1.1,1819,14.4,1.49,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,11,23.6,55,0.6,1723,14.0,1.01,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,12,24.9,51,1.2,1619,14.0,1.56,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,13,26.5,39,1.7,1560,11.4,2.15,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,14,26.1,40,1.2,1840,11.4,1.21,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,15,25.9,39,1.4,1836,10.8,0.9,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,16,25.6,41,1.2,1594,11.3,0.65,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,17,25.0,44,1.3,1883,11.8,0.36,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,18,24.0,55,2.2,1691,14.3,0.12,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,19,23.5,58,0.4,1836,14.7,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,20,22.6,67,0.3,1737,16.1,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,21,21.7,63,1.8,1078,14.3,0.0,0.1,0.0,Autumn,No Holiday,No
2018-09-19,0,22,20.9,71,1.6,1057,15.4,0.0,0.1,0.0,Autumn,No Holiday,No
2018-09-19,0,23,20.4,57,0.9,2000,11.5,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-20,886,0,20.1,58,0.3,2000,11.5,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,761,1,20.0,59,1.1,1999,11.7,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,524,2,19.9,64,1.5,1755,12.8,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,294,3,19.6,72,1.7,1140,14.4,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,241,4,19.6,74,1.4,847,14.8,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,137,5,19.5,74,1.8,1421,14.7,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,47,6,18.8,85,1.4,412,16.2,0.0,0.5,0.0,Autumn,No Holiday,Yes
2018-09-20,130,7,18.0,95,1.6,375,17.1,0.0,1.5,0.0,Autumn,No Holiday,Yes
2018-09-20,299,8,18.0,91,1.3,896,16.5,0.11,0.5,0.0,Autumn,No Holiday,Yes
2018-09-20,89,9,18.2,93,1.4,572,17.0,0.18,1.0,0.0,Autumn,No Holiday,Yes
2018-09-20,87,10,18.4,91,1.2,394,16.8,0.25,0.5,0.0,Autumn,No Holiday,Yes
2018-09-20,111,11,18.8,95,1.5,597,17.9,0.46,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,180,12,19.0,91,1.7,965,17.4,0.67,0.5,0.0,Autumn,No Holiday,Yes
2018-09-20,301,13,18.9,89,2.6,586,17.0,0.58,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,573,14,19.3,83,2.3,2000,16.3,0.83,0.5,0.0,Autumn,No Holiday,Yes
2018-09-20,696,15,19.4,79,1.4,2000,15.6,0.33,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,912,16,19.5,75,2.1,2000,14.9,0.38,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,1290,17,19.3,76,2.1,2000,14.9,0.21,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,1786,18,19.1,77,2.5,2000,14.9,0.08,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,1272,19,18.9,78,2.2,2000,14.9,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,898,20,19.1,77,2.2,1834,14.9,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,784,21,18.7,84,2.7,1744,15.9,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,1049,22,18.4,85,2.1,1772,15.8,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-20,935,23,18.7,80,1.7,2000,15.1,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-21,809,0,18.9,78,2.1,2000,14.9,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-21,674,1,19.0,78,1.6,2000,15.0,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-21,122,2,19.1,78,1.3,2000,15.1,0.0,0.0,0.0,Autumn,No Holiday,Yes
2018-09-21,28,3,18.5,88,1.2,659,16.4,0.0,1.5,0.0,Autumn,No Holiday,Yes
2018-09-21,24,4,17.9,95,1.7,1298,17.0,0.0,2.5,0.0,Autumn,No Holiday,Yes
2018-09-21,24,5,17.8,93,1.8,2000,16.6,0.0,0.5,0.0,Autumn,No Holiday,Yes
2018-09-21,23,6,17.6,95,1.7,974,16.7,0.0,1.5,0.0,Autumn,No Holiday,Yes
2018-09-21,45,7,17.6,96,1.7,310,16.9,0.0,5.0,0.0,Autumn,No Holiday,Yes
2018-09-21,127,8,17.8,97,2.0,1284,17.3,0.09,4.0,0.0,Autumn,No Holiday,Yes
2018-09-21,47,9,18.2,96,1.3,1251,17.5,0.21,1.0,0.0,Autumn,No Holiday,Yes
2018-09-21,78,10,18.4,96,2.0,1124,17.7,0.32,1.0,0.0,Autumn,No Holiday,Yes
2018-09-21,98,11,18.9,91,1.8,1938,17.3,0.64,0.5,0.0,Autumn,No Holiday,Yes
2018-09-21,143,12,19.1,91,2.0,1971,17.5,0.63,0.0,0.0,Autumn,No Holiday,Yes
2018-09-21,600,13,19.8,88,0.9,1796,17.7,0.65,0.0,0.0,Autumn,No Holiday,Yes
2018-09-21,972,14,21.4,76,1.4,2000,16.9,1.5,0.5,0.0,Autumn,No Holiday,Yes
